Product ID,heat_mild,heat_medium,heat_hot,heat_hotter,heat_superhot,flavor_sweet,flavor_smoke,flavor_fruit,flavor_vinegar,flavor_salt,flavor_garlic,pepper_Jalapeno,pepper_Serrano,pepper_Scotch Bonnet,pepper_Habanero,pepper_Ghost Pepper,pepper_Moruga Scorpion,pepper_Carolina Reaper,dietary_vegan,dietary_noGluten,dietary_noAlcohol
Guerilla Condiment Co Green,0,1,0,0,0,1.5,0,0.5,3,2,2,0,0,0,0,0,0,0,1,1,1
Belcastro's NYC Hot Sauce Co,0,0,1,0,0,2,0,1.5,2,2.5,1,0,0,0,1,0,0,0,1,1,1
Mike's Hot Honey,0,1,0,0,0,4.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,1
Queen Majesty Scotch Bonnet & Ginger Hot Sauce,0,0,1,0,0,2.5,0,2,1.5,1.5,1.5,0,0,1,0,0,0,0,1,1,1
Queen Majesty Jalapeno Tequila & Lime Hot Sauce,0,1,0,0,0,2.5,0.5,2,2,2.5,3.5,0,0,0,0,0,0,0,1,1,0
Bacchanal Caribbean Style Pepper Sauce,0,1,0,0,0,3,0,3.5,1,1,1,0,0,0,0,0,0,0,1,1,1
Karma Sauce Co Bad Karma,0,1,0,0,0,3,1,2,1.5,1.5,1.5,0,0,0,0,0,0,0,0,1,1
Karma Sauce Co Extreme Karma,0,0,0,1,0,3,1.5,2.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0,1,1
Karma Sauce Co Cherry Bomb,0,0,1,0,0,3.5,2,3.5,1,2.5,1,0,0,0,1,0,0,0,1,1,1
Karma Sauce Co Green Envy,0,0,1,0,0,1.5,2,2,2,2,1.5,0,0,0,1,0,0,0,1,1,1
Karma Sauce Co Ghost Island,0,0,0,0,1,2,2.5,2,0.5,1.5,1.5,0,0,0,1,1,1,0,1,1,1
The Chili Lab The Grove Blend Chili Butter,0,0,1,0,0,3,2,2,0,2,2,0,0,0,1,0,0,0,0,1,1
The Chili Lab Forager's Blend Chili Butter,0,0,1,0,0,1.5,4,0,0.5,2.5,2.5,0,0,0,0,0,0,0,0,1,1
High River Sauces Foo Foo Mama Choo,0,0,0,1,0,2.5,0.5,1.5,2,2,1,0,0,0,0,0,0,1,1,1,1
High River Sauces Rogue,0,0,0,1,0,3.5,0.5,3.5,2,1.5,0.5,0,1,0,0,1,1,0,1,1,1
High River Sauces Hellacious Hot Sauce,0,0,1,0,0,3,3,2,2.5,3,2.5,1,0,0,1,0,0,0,1,1,1
High River Sauces Tears of the Sun,0,0,1,0,0,3.5,0,4,2,1.5,1,0,0,0,1,0,0,0,1,1,1
Hot Winter Poblano,1,0,0,0,0,3,2.5,1.5,2,2,2,0,0,0,0,0,0,0,1,1,1
CaJohn's Quetzalcoatl Ghost Chili Sauce,0,0,1,0,0,3,3,0,2,2.5,2,0,1,0,0,1,0,0,1,1,1
Anthony Kearn's Burn Out,0,0,0,1,0,1.5,1.5,2,2.5,2,0,0,0,0,0,0,0,1,1,1,1
Anthony Kearn's Wrath of Cerberus,0,0,0,1,0,1.5,1.5,1.5,2.5,2.5,1.5,0,0,0,0,0,0,1,1,1,1
Bravado Spice Co Jalapeno & Green Apple,0,1,0,0,0,2,0.5,3,2,2,3,1,0,0,0,0,0,0,1,1,1
Bravado Spice Co Pineapple & Habanero,0,0,1,0,0,3,0.5,4,2.5,1.5,3,0,0,0,1,0,0,0,1,1,1
Bravado Spice Co Ghost Pepper & Blueberry,0,0,0,1,0,3,1.5,4.5,2.5,1,0,0,0,0,0,1,0,0,1,1,1
Mellow Habanero Habanero Pepper Sauce,0,0,1,0,0,2.5,1.5,3.5,2,1.5,1,0,0,0,1,0,0,0,1,1,1
Mellow Habanero Heaven Most Hot,0,0,0,1,0,1.5,0.5,2.5,1,1,0,0,0,0,1,0,0,0,1,1,1
Mellow Habanero Smoky Chipotle Sauce,0,0,1,0,0,2.5,4,2.5,2,1.5,0,1,0,0,1,0,0,0,1,1,1
Dawson's Hot Sauce Big Smoke,0,0,1,0,0,1,4,1,1,2.5,0,1,0,0,0,0,0,0,1,1,1
Dawson's Hot Sauce Garlic Jalapeno,1,0,0,0,0,2,0.5,0,2.5,1.5,5,1,0,0,0,0,0,0,1,1,1
