backer_number,heat_mild,heat_medium,heat_hot,heat_hotter,heat_superhot,flavor_sweet,flavor_smoke,flavor_fruit,flavor_vinegar,flavor_salt,flavor_garlic,pepper_Jalapeno,pepper_Serrano,pepper_Scotch Bonnet,pepper_Habanero,pepper_Ghost Pepper,pepper_Moruga Scorpion,pepper_Carolina Reaper,dietary_vegan,dietary_noGluten,dietary_noAlcohol
313,0,0,0,1,1,2.5,4.05,4.1,2.5,1.7,3.45,0,0,0,1,1,0,0,0,0,0
247,0,1,1,1,1,1.1,3.4,2.15,0.9,1.15,1.45,1,1,1,1,1,1,1,0,0,0
260,0,0,1,1,0,2.9,3.4,2.75,0.3,2.05,0,0,1,0,1,0,0,0,0,0,0
315,0,0,0,1,1,0.25,0,0.35,0.5,2.5,4.6,0,0,0,1,0,1,0,0,1,1
305,0,1,1,1,0,2.9,2.8,3.15,2,2.6,3.3,1,0,1,1,0,0,0,1,1,0
171,0,1,1,1,0,4.1,1.45,1.65,3.25,1.75,4.05,1,1,0,1,0,0,0,0,0,0
13,0,0,1,1,0,4.7,1.15,4.05,0.4,2.25,0,1,1,0,0,0,0,1,0,0,0
250,0,1,1,0,0,0,1.7,0.85,0.9,2.3,5,1,1,0,1,0,0,0,0,0,0
144,0,1,1,1,0,2.5,0,1.3,3.3,2.05,3.95,1,0,0,1,0,0,0,0,0,0
221,0,0,1,1,1,3.25,3.25,2.5,3.15,3.25,3.8,0,0,0,0,0,0,0,0,0,0
226,0,1,1,0,0,3.45,3.6,1.75,3.5,3.1,2.5,1,1,0,1,0,0,0,0,0,0
150,0,1,1,0,0,3.85,2.5,2.5,0.7,2.5,3.8,1,0,0,0,0,0,0,0,0,0
339,1,1,1,0,0,1.5,2.5,0.2,2.4,2.6,4.1,1,1,1,1,0,0,0,0,0,0
90,0,1,1,0,0,2.5,2.5,2.5,2.5,2.5,2.95,0,0,0,0,0,0,0,0,0,0
285,0,0,1,1,0,4.05,4.05,2.9,1.1,3.3,2,1,0,0,1,0,0,0,0,0,0
11,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
103,0,1,0,0,0,2.5,0,2.5,1.35,2.3,0.6,1,1,0,1,0,0,0,1,0,0
131,0,1,1,0,0,2.5,3.75,2.5,3.15,4.05,4.4,1,0,0,1,0,0,0,0,0,0
95,0,0,0,1,0,0.9,2.5,2.5,0.35,0.1,1.9,0,0,0,1,1,0,0,0,0,0
113,1,1,1,0,0,2.95,0,3.05,3.35,3.8,4.6,1,1,0,1,0,0,0,0,0,0
196,0,0,1,1,1,0.45,3.75,0.25,0.1,1.55,2.4,0,0,1,1,1,0,0,1,0,0
343,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
282,0,0,1,1,0,2.5,3.8,0.6,2.5,1.4,2.5,1,1,0,1,0,1,1,0,1,1
1,0,1,1,1,0,1.55,3.95,1.3,3.8,2.5,2.5,1,1,0,1,0,0,0,0,0,0
70,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
327,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
314,0,0,0,1,1,3.8,0,3.85,0.9,2.3,3.4,0,0,1,0,1,0,0,0,0,0
47,0,1,1,1,1,2.5,4.3,0.9,3.15,2.5,5,1,0,0,1,1,0,0,0,0,0
295,1,1,1,1,1,0.65,2.9,0.45,4,4.1,4.2,0,0,0,0,0,0,0,0,0,0
174,0,0,1,1,0,3.3,3.3,0,3.35,1.95,2.7,1,1,1,1,1,0,0,0,0,0
141,0,0,0,0,0,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0
164,1,1,1,1,1,5,1.65,2.45,1.7,2,2,1,1,1,1,1,1,1,0,0,0
121,0,1,0,0,0,0.3,2.5,0.55,1.25,2.5,3.2,0,0,0,0,0,0,0,1,0,0
169,1,1,1,0,0,2.5,1.85,2.5,2.5,2,2.5,0,0,0,0,0,0,0,0,0,0
163,0,0,0,1,0,4.6,4,2.5,3,3.25,4.05,1,1,0,1,0,0,0,0,0,0
