Click,UniqueClick,Name,Price,Rank,SpecialOffer,Rating,Windows,SiteBuilder,Shopping,Mailboxes,Spam,FTPManager,FTPaccounts,Webchat,UserForums
433,388,Arvixe,4,1,1,1,1,1,1,1,1,1,1,1,1
487,453,Arvixe,4,1,1,1,1,1,1,1,1,1,1,1,1
521,472,Arvixe,4,1,1,1,1,1,1,1,1,1,1,1,1
504,447,Arvixe,4,1,1,1,1,1,1,1,1,1,1,1,1
507,444,Arvixe,4,1,1,1,1,1,1,1,1,1,1,1,1
412,362,Arvixe,4,1,1,1,1,1,1,1,1,1,1,1,1
322,299,Arvixe,4,1,1,1,1,1,1,1,1,1,1,1,1
359,317,Arvixe,4,1,1,1,1,1,1,1,1,1,1,1,1
361,306,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
476,426,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
461,399,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
388,355,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
436,389,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
381,337,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
368,318,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
475,418,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
518,447,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
462,410,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
455,407,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
422,371,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
354,310,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
369,321,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
484,402,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
496,443,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
470,417,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
421,374,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
437,374,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
328,290,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
355,309,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
483,422,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
516,434,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
469,418,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
470,409,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
429,365,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
311,288,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
364,328,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
561,474,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
475,423,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
554,476,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
454,399,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
454,389,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
355,306,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
421,360,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
559,493,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
499,446,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
473,419,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
530,474,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
447,395,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
368,318,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
364,321,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
585,514,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
524,476,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
507,445,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
472,422,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
404,366,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
393,348,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
354,314,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
503,432,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
541,482,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
518,452,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
340,305,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
264,225,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
307,271,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
328,281,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
465,414,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
540,481,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
522,461,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
461,408,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
