username,topic,ses
A,Britney Spears,2
A,Harry Potter and the Deathly Hallows,1
A,Barack Obama,1
A,The Simpsons,7
A,Family Guy,1
A Baoa Qu,Cannabis (drug),2
A Clown in the Dark,United States,1
A Clown in the Dark,PlayStation 3,1
A Clown in the Dark,Wii,5
A Crossley,Harry Potter and the Deathly Hallows,5
A Crossley,Harry Potter,1
A D 13,Cannabis (drug),1
A Different World,George W. Bush,2
A Different World,Eminem,6
A Different World,50 Cent,7
A Doon,Islam,1
A J Hay,Jesus,5
A J Hay,Christianity,3
A J Luxton,Cat,6
A J Luxton,Harry Potter,1
A K Lynch68,George W. Bush,1
A Kaffir,Islam,7
A Kit,Albert Einstein,1
A Kit,Barack Obama,1
A Little Bit of Liberace,The Simpsons,1
A Living God,"United States presidential election, 2008",3
A Man In Black,Albert Einstein,1
A Man In Black,Paris Hilton,1
A Man In Black,Star Wars,67
A Man In Black,PlayStation 3,3
A Man In Black,George W. Bush,15
A Man In Black,The Simpsons,4
A Man In Black,Eminem,2
A Man In Black,Xbox 360,1
A Man In Black,Tony Blair,1
A Man In Black,Osama bin Laden,1
A Man In Black,IPod,71
A Man In Black,Adolf Hitler,1
A Man In Black,RuneScape,1
A More Perfect Onion,Barack Obama,1
A More Perfect Onion,Britney Spears,1
A Musing,George Washington,2
A Nobody,Harry Potter and the Deathly Hallows,2
A Nobody,World War II,1
A Nobody,"United States presidential election, 2008",1
A Nobody,Xbox 360,3
A Nobody,Britney Spears,1
A Nobody,World War I,1
A Nobody,PlayStation 3,10
A Nobody,South Park,2
A Nobody,Wii,3
A Quest For Knowledge,September 11 attacks,5
A Quest For Knowledge,Adolf Hitler,5
A Quest For Knowledge,Albert Einstein,1
A Quest For Knowledge,World War I,1
A Quest For Knowledge,Michael Jackson,2
A Quest For Knowledge,The Beatles,1
A Raider Like Indiana,Star Wars,9
A Runyon,Saddam Hussein,1
A Second Man in Motion,Adolf Hitler,1
A Softer Answer,Eminem,1
A Softer Answer,South Park,2
A Softer Answer,United States,1
A Softer Answer,World War II,1
A Softer Answer,United Kingdom,1
A Softer Answer,Christianity,1
A Star Is Here,Britney Spears,1
