username,topic,ses
B,Family Guy,1
B,George W. Bush,1
B,Jesus,12
B,United Kingdom,6
B,Barack Obama,15
B,World War I,6
B,Christianity,3
B,South Park,2
B,The Simpsons,1
B,Osama bin Laden,1
B,"United States presidential election, 2008",13
B Carey,Global warming,1
B DEETS,Xbox 360,6
B Fizz,Google,1
B Fizz,"United States presidential election, 2008",1
B Touch,Michael Jackson,31
B Touch,The Beatles,1
B Touch,50 Cent,3
B Touch,Family Guy,1
B j vella,Harry Potter and the Deathly Hallows,1
B katt 500,Cat,2
B kimmel,The Simpsons,1
B webb123,Cat,1
B-80,God,1
B-mcadbr,George W. Bush,1
B-poc,PlayStation 3,2
B-radical 1522,World War II,1
B. Fairbairn,George W. Bush,1
B. Fairbairn,United States,51
B. Fairbairn,Albert Einstein,1
B. van der Wee,Google,4
B. van der Wee,Star Wars,1
B.L.A.Z.E,Barack Obama,1
B.S.Gautam,Barack Obama,1
B.Soto,50 Cent,1
B.T.A. Inc.,World War II,2
B.d.mills,Harry Potter and the Deathly Hallows,3
B.johnston,United Kingdom,6
B00P,Britney Spears,1
B0at,Family Guy,4
B0at,United States,2
B0at,The Simpsons,3
B0gmen0t,IPod,1
B0mb3d,United States,1
B1atv,Harry Potter,2
B1atv,United Kingdom,1
B1link82,George W. Bush,1
B1link82,New York City,1
B1link82,United States,9
B1llycl3m3nt,Google,1
B1oody8romance7,"United States presidential election, 2008",1
B33R,Eminem,1
B33R,Wii,1
B3N,Family Guy,1
B3X11,Albert Einstein,1
B47,Google,1
B4hand,India,1
B4hand,South Park,2
B4hand,Ronald Reagan,3
B4hand,Star Wars,1
B4hand,September 11 attacks,1
B4llin4elves,George Washington,1
B4rahul,Christianity,2
B5N Kate,Israel,1
B64,Barack Obama,2
B64,United States,1
B64,George W. Bush,2
B7,Eminem,1
B7582,Star Wars,1
B7582,The Simpsons,1
B767-500,Google,1
B9 hummingbird hovering,God,1
BADMINton,Muhammad,1
BAKA4lyfe,South Park,1
BALCK,George Washington,1
BAPACop,Wii,2
BAPACop,Star Wars,2
BAX WALL,Jesus,1
BAZZA42,Christianity,1
BArcherC,George W. Bush,1
BB Gambini,50 Cent,3
BB Hibou,Islam,1
BB660,PlayStation 3,1
BB660,Bill Gates,6
BB777,September 11 attacks,2
BBBH,Barack Obama,3
BBCOFFEECAT,Harry Potter,3
BBJAPS3,50 Cent,1
BBJAPS3,Eminem,1
BBKurt,Barack Obama,1
BBMSteve,Bill Clinton,1
BBQKing,South Park,1
BBabe223,George Washington,1
BBallRacker,Eminem,1
BBird,London,1
BBnet3000,World War I,1
BBonds,Barack Obama,1
BBonds,50 Cent,1
BBoy,Britney Spears,1
BCST2001,Michael Jackson,8
BCSWowbagger,"United States presidential election, 2008",1
BCV,George W. Bush,9
BCV,Britney Spears,1
BCV,Ronald Reagan,1
BCV,Bill Clinton,1
BCV,George Washington,7
BCoates,George W. Bush,1
BCube,Harry Potter and the Deathly Hallows,1
BD Third,South Park,1
BD2412,Japan,1
BD2412,London,1
BD2412,Paris Hilton,4
BD2412,World War II,3
BD2412,50 Cent,1
BD2412,Israel,3
BD2412,Christianity,2
BD2412,George Washington,16
BD2412,United States,1
BD2412,Jesus,4
BD2412,Ronald Reagan,5
BD2412,George W. Bush,27
BD2412,Barack Obama,2
BD2412,IPod,1
BD2412,God,7
BD2412,United Kingdom,2
BD2412,Islam,1
BD2412,Albert Einstein,1
BD2412,South Park,1
BD2412,Saddam Hussein,3
BD2412,RuneScape,1
BD2412,Family Guy,1
BD2412,Google,2
BD2412,Bill Gates,3
BD2412,Adolf Hitler,1
BD2412,Bill Clinton,11
BDD,Tony Blair,1
BDD,"United States presidential election, 2008",1
BDNYanks021,Wii,1
BDS2006,September 11 attacks,1
BDS2006,Islam,2
BEAST1234,Islam,1
BECASC,United States,1
BECPL,Jesus,2
BECPL,Christianity,1
BFD1,Wii,2
BFR,Saddam Hussein,1
BG7,United States,1
BGC,The Simpsons,3
BGC,Michael Jackson,4
BGC,Saddam Hussein,1
BGC,The Beatles,3
BGC,Family Guy,2
BGC,Eminem,3
BGC,South Park,3
BGC,Harry Potter and the Deathly Hallows,1
BGManofID,Cat,1
BGManofID,Canada,1
BGManofID,United Kingdom,1
BGNY2012,Scientology,2
BGRuthless,50 Cent,7
BGTopDon,World War I,3
BGangsta416,Albert Einstein,1
BGizzleD,Eminem,1
BGordon,United States,1
BHC,South Park,2
BHC,Xbox 360,1
BHC,Eminem,1
BIGSexyDMB8,The Beatles,1
BIN LADEN,Osama bin Laden,1
BITB,Family Guy,1
BJ Nemeth,IPod,7
BJ Nemeth,Cannabis (drug),1
BJ Toxic,Britney Spears,30
BJ712,Adolf Hitler,2
BJCenters,United States,1
BJK1903,Bill Gates,1
BJM492,God,1
BJNartowt,God,3
BJON,Bill Clinton,1
BJoker1,Star Wars,1
BK Lounger,George W. Bush,1
BK520,The Beatles,1
BK520,Paris Hilton,1
BKH2007,Adolf Hitler,1
BKH2007,Eminem,1
BKHal2007,Eminem,10
BKI 1226,Adolf Hitler,1
BKITU,Family Guy,1
BKMastah,United Kingdom,1
BKalesti,Bill Gates,1
BKmetic,PlayStation 3,1
BKmetic,Wii,2
BL,The Simpsons,1
BL,George W. Bush,1
BL,Israel,4
BL2593,Jesus,1
BL999,Islam,2
BLACK SYNDICATE5858,50 Cent,5
BLPWatchBot,Paris Hilton,3
BLass-cz,New York City,1
BLooDs4Life,Muhammad,3
BLoodycLit,George W. Bush,1
BM,Bill Gates,2
BM,"United States presidential election, 2008",42
BMD21century,Bill Gates,2
BMF81,Osama bin Laden,1
BMF81,United States,2
BMF81,Ronald Reagan,2
BMF81,Christianity,3
BMF81,Cannabis (drug),14
BMF81,September 11 attacks,1
BMF81,George W. Bush,2
BMLwarrior,Ronald Reagan,1
BMS,50 Cent,1
BMT,Xbox 360,1
BMWman,Ronald Reagan,4
BMWman,September 11 attacks,1
BMcCJ,Global warming,1
BMetts,PlayStation 3,2
BMxBigMouth4life,Michael Jackson,1
BNLfan53,South Park,2
BNichols1707,PlayStation 3,2
BOARshevik,September 11 attacks,3
BOARshevik,New York City,1
BOARshevik,World War I,1
BOARshevik,Israel,2
BONGU SEAN,Cat,1
BOREDMAN677,Michael Jackson,1
BOSTONREDSOX,Wii,2
BOT-Superzerocool,India,5
BOT-Superzerocool,Adolf Hitler,1
BOT-Superzerocool,Israel,1
BOT-Superzerocool,Canada,2
BOT-Superzerocool,Albert Einstein,4
BOT-Superzerocool,George W. Bush,1
BOT-Superzerocool,"United States presidential election, 2008",1
BOT-Superzerocool,United States,1
BOT-Superzerocool,Christianity,2
BOT-Superzerocool,Wii,1
BOT-Superzerocool,Harry Potter,1
