username,topic,ses
C Hanna,Canada,1
C Hanna,Christianity,5
C S,The Beatles,1
C S,Albert Einstein,7
C S,IPod,23
C S,Michael Jackson,1
C Teng,RuneScape,6
C Teng,Harry Potter and the Deathly Hallows,1
C Teng,The Simpsons,1
C footprints,Jesus,8
C i d,George W. Bush,3
C mon,South Park,1
C wane,Harry Potter and the Deathly Hallows,1
C'est moi,South Park,1
C-Dew,Saddam Hussein,1
C-Liberal,Ronald Reagan,3
C-Woodchuck,50 Cent,1
C-randles,Global warming,10
C-squared,Harry Potter,1
C-to-the-G-wicki,World War II,2
C-town dude,PlayStation 3,1
C-word,Cat,1
C. Foultz,South Park,1
C. Foultz,George W. Bush,1
C. Foultz,The Beatles,1
C. L. Marquette,Barack Obama,1
C. L. Marquette,Adolf Hitler,3
C. M. Harris,Harry Potter,1
C. M. Harris,Harry Potter and the Deathly Hallows,1
C. M. Harris,United States,2
C. M. Harris,World War II,1
C.Fred,Ronald Reagan,1
C.Fred,Paris Hilton,1
C.Fred,Harry Potter,1
C.Fred,Saddam Hussein,1
C.Fred,George W. Bush,1
C.Fred,RuneScape,1
C.Fred,United Kingdom,1
C.Fred,Harry Potter and the Deathly Hallows,1
C.Fred,Adolf Hitler,1
C.Fred,Michael Jackson,1
C.Fred,Cannabis (drug),1
C.Logan,Jesus,41
C.Logan,Muhammad,1
C.Löser,United States,2
C.Ronaldo717,50 Cent,11
C.Ronaldo717,Eminem,8
C.TyreR,God,1
C.hardin,South Park,1
C.jeynes,Albert Einstein,1
C.lettingaAV,New York City,1
C.murphy8,George W. Bush,1
C0C,Canada,1
C0nanPayne,Wii,1
C0nanPayne,PlayStation 3,13
C0nanPayne,Xbox 360,9
C0nspiracy,George W. Bush,1
C0ntyphoon,50 Cent,2
C0ntyphoon,RuneScape,1
C0rbet,George W. Bush,1
C12H22O11,Adolf Hitler,12
C12H22O11,Islam,8
C12H22O11,George W. Bush,10
C12H22O11,World War II,1
C12H22O11,India,1
C12H22O11,Canada,4
C12H22O11,Bill Gates,2
C12H22O11,London,1
C12H22O11,Saddam Hussein,2
C12H22O11,Jesus,6
C12ypt,Scientology,2
C12ypt,World War I,1
C1k3,Saddam Hussein,3
C1k3,Star Wars,1
C1k3,Family Guy,3
C1k3,London,3
C20k,Albert Einstein,1
C21K,India,1
C2d7900sli,RuneScape,3
C303ad,Paris Hilton,2
C33,Osama bin Laden,1
C33C,Tony Blair,1
C3o,World War II,2
C4BoomBoom,50 Cent,2
C4pt4in W1k1,50 Cent,1
C6541,God,1
C6541,Jesus,1
C6541,Eminem,1
C777,Paris Hilton,2
C777,United Kingdom,3
C777,Britney Spears,1
C777,Saddam Hussein,1
C777,London,1
C777,The Beatles,1
C777,Harry Potter,1
C777,Michael Jackson,4
C:Amie,Tony Blair,1
CAD6DEE2E8DAD95A,George W. Bush,1
CAIRNSY90,Google,1
CALR,United States,1
CALR,Scientology,1
CALR,Cat,1
CALR,Global warming,1
CALR,Canada,1
CALR,South Park,1
CALR,India,2
CALR,God,3
CALR,World War II,2
CALR,Bill Clinton,1
CALR,Michael Jackson,2
CALR,50 Cent,1
CALR,Tony Blair,1
CANCER ONE,September 11 attacks,1
CAPS LOCK,Saddam Hussein,2
CAPS LOCK,Scientology,1
CAPS LOCK,George W. Bush,6
CAPS LOCK,Bill Clinton,3
CAPS LOCK,Adolf Hitler,2
CAPS LOCK,Harry Potter,1
CAPS LOCK,Jesus,1
CARLDIGITAL,World War II,1
CARLOSCERVANTESISGAY,Star Wars,1
CARLii-BAYB33,Michael Jackson,1
CART fan,London,2
CART fan,Albert Einstein,4
CART fan,The Beatles,1
CART fan,New York City,1
CART fan,Ronald Reagan,3
CART fan,World War I,2
CASE,Family Guy,1
CATMILK101,Cat,1
CAV3MAN,Britney Spears,1
CAVincent,George Washington,5
CB2379,Barack Obama,1
CBDunkerson,Bill Clinton,4
CBDunkerson,George W. Bush,10
CBDunkerson,Harry Potter,2
CBDunkerson,World War II,1
CBDunkerson,Global warming,2
CBDunkerson,Osama bin Laden,3
CBDunkerson,Michael Jackson,3
CBDunkerson,Adolf Hitler,1
CBDunkerson,George Washington,1
CBDunkerson,Jesus,1
CBDunkerson,Ronald Reagan,5
CBDunkerson,Family Guy,1
CBDunkerson,Israel,1
CBDunkerson,PlayStation 3,2
CBM,Harry Potter and the Deathly Hallows,12
CBM,The Simpsons,1
CBM,Family Guy,1
CBM,Barack Obama,3
CBM,Harry Potter,1
CBM,Albert Einstein,1
CBM,Scientology,2
CBM,Canada,3
CBM,Ronald Reagan,1
CBM,September 11 attacks,1
CBMIBM,Wii,1
CBR1kboy,Japan,1
CBS13,World War II,2
CBadSurf,Jesus,8
CBadSurf,Christianity,1
CC21560,Ronald Reagan,2
CC90,Bill Gates,3
CCFC JP,The Simpsons,1
CCORYY,PlayStation 3,1
CCRoxtar,Britney Spears,1
CCRoxtar,The Beatles,1
CCRoxtar,"United States presidential election, 2008",1
CClio333,Michael Jackson,1
CClio333,50 Cent,1
CCorward,Bill Clinton,1
CCwithALEXintheSHOWER,Adolf Hitler,1
CDA,Jesus,1
CDA,Osama bin Laden,1
CDHgrün,Saddam Hussein,1
CDHgrün,United States,2
CDN99,United States,1
CDN99,Canada,1
CDThieme,Jesus,1
CDThieme,Christianity,2
CDThieme,South Park,2
CDThieme,George W. Bush,1
CDaly,Bill Clinton,1
CDaly,The Beatles,3
CDaly,Britney Spears,1
CDwyer,New York City,1
CE,Osama bin Laden,1
CEHS,The Simpsons,1
CENSEI,Barack Obama,6
CENTRAL,Michael Jackson,2
CES,Japan,19
CES,Canada,1
CEberle02,September 11 attacks,4
CF538280,50 Cent,3
CFBancroft,Michael Jackson,1
CFGGMann,Japan,1
CFIF,Tony Blair,1
CFLeon,"United States presidential election, 2008",1
CFLeon,Barack Obama,1
CFLeon,Michael Jackson,2
CFM865,George W. Bush,3
CFNadd,Ronald Reagan,2
CForrester,Cat,1
CGDD,Britney Spears,10
CGP,London,6
CGR 16,Bill Gates,1
CGR 16,Eminem,3
CGR 16,50 Cent,8
CH52584,Michael Jackson,2
