username,topic,ses
D,United Kingdom,1
D,IPod,1
D,Cannabis (drug),1
D Bentley,George Washington,1
D C McJonathan,Ronald Reagan,3
D Dinneen,London,2
D Ellis,September 11 attacks,1
D Major,50 Cent,2
D Monack,Harry Potter and the Deathly Hallows,2
D S,The Beatles,1
D Tunisia,PlayStation 3,4
D bovair1988,Michael Jackson,3
D digidy dod,Cannabis (drug),1
D drumsman,Jesus,1
D izzygirl,South Park,2
D prime,United States,3
D prime,World War II,1
D prime,Xbox 360,3
D prime,Wii,2
D prime,Harry Potter,1
D prime,South Park,1
D prime,"United States presidential election, 2008",1
D prime,Bill Gates,2
D roth0413,Japan,1
D'Agosta,Wii,1
D'Agosta,Harry Potter and the Deathly Hallows,1
D'n,New York City,1
D'ohBot,South Park,1
D'ohBot,Scientology,1
D'ohBot,God,1
D-Boy67,50 Cent,1
D-Clancy,Family Guy,1
D-Day,"United States presidential election, 2008",6
D-Day,George W. Bush,4
D-Day,Michael Jackson,1
D-Day,September 11 attacks,1
D-Katana,Cannabis (drug),1
D-Notice,Scientology,1
D-Notice,London,2
D-Notice,Muhammad,2
D-Notice,Adolf Hitler,1
D-Rock,United States,1
D-Rock,Albert Einstein,1
D-Rock,New York City,6
D-Rock,Muhammad,1
D-Rock,Saddam Hussein,1
D-Terminal,PlayStation 3,3
D-Wrekx,Eminem,1
D-bot,September 11 attacks,1
D-hyo,Wii,1
D. F. Schmidt,World War II,1
D. F. Schmidt,Star Wars,1
D. Recorder,Michael Jackson,1
D. Recorder,Muhammad,1
D. Recorder,Star Wars,2
D. Recorder,United Kingdom,1
D. Recorder,World War II,1
D. Webb,United Kingdom,2
D. Wu,Israel,1
D. Wu,Harry Potter,1
D.C. Blake,Michael Jackson,4
D.C. Hughes,September 11 attacks,4
D.H,Albert Einstein,5
D.Kurdistani,George Washington,1
D.Kurdistani,Saddam Hussein,2
D.Kurdistani,PlayStation 3,1
D.M. from Ukraine,United States,1
D.M.N.,United Kingdom,1
D.M.N.,"United States presidential election, 2008",2
D.M.N.,Britney Spears,1
D.M.N.,Michael Jackson,1
D.Steele,Eminem,1
D.e.Iverson,Xbox 360,2
D.illah,United States,2
D.luo117,Xbox 360,2
D00d,George W. Bush,2
D0NK3Y,Google,1
D0NK3Y,Adolf Hitler,1
D0t,Family Guy,1
D10,George W. Bush,1
D1111,World War I,4
D1536,Family Guy,1
D1VaKa,Eminem,1
D24,PlayStation 3,1
D25034,Christianity,1
D3av,Harry Potter and the Deathly Hallows,1
D3dtn01,Canada,1
D3gtrd,The Beatles,1
D3lud3,Wii,1
D3m0n1cL0rd,RuneScape,1
D3v4st4t0r,PlayStation 3,3
D3v4st4t0r,Family Guy,1
D4,Harry Potter,1
D4S,Michael Jackson,1
D4c3nt3n0,Michael Jackson,1
D4niel11,India,1
D510r9,Xbox 360,1
D590135002,God,3
D6,Global warming,1
D6,50 Cent,1
D6,London,1
D6,Adolf Hitler,1
D6,Tony Blair,1
D6,Michael Jackson,1
D6,Scientology,1
D6,Paris Hilton,1
D6,Osama bin Laden,3
D6,Saddam Hussein,1
D6,Albert Einstein,1
D6,Barack Obama,1
D6,Ronald Reagan,2
D6,Christianity,1
D6,Britney Spears,1
D6,United States,5
D6,George Washington,1
D6,New York City,1
D6,Eminem,2
D6,United Kingdom,2
D6,Israel,3
D6,Bill Gates,1
D6,"United States presidential election, 2008",1
