username,topic,ses
F,The Beatles,1
F,Wii,3
F,Michael Jackson,1
F,Paris Hilton,1
F Notebook,World War I,1
F-402,United Kingdom,1
F-451,Adolf Hitler,4
F-451,The Simpsons,1
F-Misthebest,George W. Bush,1
F-a-b-o-l-o-u-s,Eminem,1
F-a-b-o-l-o-u-s,Bill Gates,1
F-a-b-o-l-o-u-s,50 Cent,1
F. Cosoleto,Harry Potter,1
F. Cosoleto,South Park,1
F. H. Black,United States,1
F. Simon Grant,Islam,1
F.Barrera,South Park,1
F.F.McGurk,George W. Bush,11
F.F.McGurk,Global warming,1
F.bendik,Bill Clinton,1
F0CUS,Google,3
F0xfree,Cannabis (drug),1
F13nd,The Simpsons,4
F13nd,Paris Hilton,4
F15x28,Britney Spears,1
F1GHTHEP0WR,Harry Potter and the Deathly Hallows,1
F20ljc,United States,1
F20ljc,Bill Gates,4
F20ljc,United Kingdom,1
F9o0oly,PlayStation 3,1
FA Jon,Barack Obama,1
FA53764968566fgtu7757,New York City,1
FACE3333,Michael Jackson,1
FAH1223,50 Cent,3
FAH1223,Michael Jackson,2
FAH1223,Muhammad,6
FAH1223,Eminem,1
FAH1223,Jesus,6
FAH1223,India,3
FAH1223,United States,4
FAH1223,Islam,26
FANDREW,New York City,1
FANSTARbot,Harry Potter and the Deathly Hallows,3
FANSTARbot,Paris Hilton,1
FANSTARbot,Britney Spears,2
FANSTARbot,George Washington,1
FAThomssen,Michael Jackson,1
FAULKNER1,George W. Bush,1
FBM,World War I,2
FC Toronto,World War I,1
FCBAYERNMUNCHEN,Harry Potter and the Deathly Hallows,1
FCLasdf,India,1
FCStaehle,Family Guy,1
FCStaehle,United States,1
FCYTravis,South Park,1
FCYTravis,Adolf Hitler,1
FCYTravis,Jesus,1
FCYTravis,Bill Clinton,2
FCYTravis,Global warming,3
FCYTravis,The Simpsons,1
FCYTravis,Islam,1
FCYTravis,George Washington,1
FCYTravis,Michael Jackson,1
FCYTravis,God,2
FCYTravis,United States,1
FCYTravis,George W. Bush,18
FCYTravis,Ronald Reagan,2
FCYTravis,Barack Obama,1
FCYTravis,Star Wars,2
FCYTravis,Paris Hilton,1
FCYTravis,New York City,1
FCYTravis,September 11 attacks,2
FCYTravis,PlayStation 3,1
FClef,Michael Jackson,1
FClef,World War I,2
FDD19,50 Cent,1
FDR,Ronald Reagan,2
FDR,Adolf Hitler,4
FDuffy,God,5
FDuffy,George W. Bush,1
FESTORM 5,United States,5
FETuriousness,World War I,1
FEastman,United States,1
FF4889,God,1
FF7Freakzorz,RuneScape,1
FF810,PlayStation 3,1
FFAFRoxorzMyBoxorz,IPod,2
FFAFRoxorzMyBoxorz,George W. Bush,1
FFKH,George W. Bush,1
FFLH100,London,1
FFLaguna,United States,1
FFMG,London,2
FFMG,United Kingdom,1
FFMG,"United States presidential election, 2008",1
FGBD,George W. Bush,1
FGBD,"United States presidential election, 2008",1
FHYJFJ44,50 Cent,2
FIRExNECK,Barack Obama,2
FISHERAD,World War I,2
FISHFLYZ,Wii,3
FIshstick,IPod,3
FJH,50 Cent,2
FJM,Japan,1
FJPB,Adolf Hitler,1
FJPB,Ronald Reagan,1
FJPB,United Kingdom,1
FJPB,Japan,1
FMAFan1990,50 Cent,1
FMAFan1990,South Park,3
FMAFan1990,Barack Obama,1
FMAFan1990,The Beatles,2
FMAFan1990,Bill Clinton,1
FMAN,Wii,1
FOARP,IPod,5
FOARP,United States,12
FOTEMEH,Albert Einstein,5
FOTEMEH,Bill Gates,1
FPAtl,PlayStation 3,1
FPAtl,Family Guy,1
FPAtl,Xbox 360,2
FPAtl,50 Cent,1
FRANKENSTONED,World War I,1
FRCP11,"United States presidential election, 2008",1
FRED,Canada,1
FRS,George W. Bush,1
FRogers,Tony Blair,1
FSF-Rapier,United States,1
FSG,Eminem,2
FSG,Barack Obama,3
FSG,South Park,1
FSUNolez06,Barack Obama,5
FT2,Canada,1
FT2,United Kingdom,1
FT2,South Park,11
FT2,George W. Bush,4
FT2,God,9
FT2,"United States presidential election, 2008",3
FT2,Adolf Hitler,1
FT2,United States,1
FT2,September 11 attacks,21
FTP,Muhammad,1
FU DAH,Harry Potter,1
FUCK OFF,Islam,1
FUCK OFF,Jesus,1
FUtheresa,India,1
FWINDUSA76,George W. Bush,1
Fa siddiqui ksa,Osama bin Laden,1
FaZ72,The Beatles,1
Faat78,Israel,5
Faazshift,Christianity,1
Fabant,United Kingdom,1
Fabartus,The Beatles,3
Fabartus,World War II,4
Fabartus,Harry Potter and the Deathly Hallows,8
Fabartus,Global warming,1
Fabartus,United States,1
Fabartus,London,1
Fabartus,Saddam Hussein,3
Fabartus,Ronald Reagan,16
Fabartus,India,2
Fabartus,Bill Gates,1
Fabartus,Harry Potter,1
Fabastonmartinoneill,Harry Potter and the Deathly Hallows,1
