username,topic,ses
G Clark,India,1
G Clark,Bill Clinton,1
G Clark,George W. Bush,1
G Clark,Adolf Hitler,2
G Clark,United Kingdom,2
G Clark,George Washington,1
G Clark,Albert Einstein,2
G Clark,September 11 attacks,3
G Clark,Michael Jackson,1
G Clark,Google,1
G Rose,United States,1
G Rose,Cannabis (drug),3
G Rose,Cat,1
G Rose,George W. Bush,4
G bhaskar07,India,3
G force11,Bill Gates,1
G unit soljah,Eminem,6
G unit soljah,50 Cent,52
G woodard8,Harry Potter,1
G-Bot,Google,1
G-H-7-28-07,World War II,1
G-Man,London,115
G-Man,Global warming,4
G-Man,World War II,1
G-Man,Tony Blair,3
G-Man,New York City,3
G-Man,Adolf Hitler,1
G-W,World War I,4
G-thang101,Paris Hilton,1
G-unit records,50 Cent,1
G-unit12,Christianity,1
G. Campbell,United States,3
G. Campbell,United Kingdom,1
G. Campbell,God,1
G. Campbell,Jesus,1
G. Campbell,Canada,1
G. Campbell,Japan,1
G. Campbell,Christianity,1
G. Campbell,Cat,1
G. Capo,New York City,13
G. Walker,George W. Bush,2
G.-M. Cupertino,Bill Gates,3
G.-M. Cupertino,Barack Obama,9
G.-M. Cupertino,Paris Hilton,1
G.-M. Cupertino,Jesus,1
G.-M. Cupertino,George Washington,3
G.A.S,Albert Einstein,1
G.AC,South Park,1
G.AC,The Beatles,4
G.U.I.L.T.Y,George W. Bush,2
G.W.,George W. Bush,2
G.W.,Barack Obama,2
G.W.,United States,7
G.W.,Christianity,1
G.W.,PlayStation 3,1
G.g.,Jesus,1
G00dg0d,RuneScape,1
G026r,George W. Bush,1
G026r,Wii,5
G026r,Michael Jackson,1
G0t rap3,Cannabis (drug),1
G147,Osama bin Laden,2
G147,Jesus,2
G246020,"United States presidential election, 2008",1
G2bambino,United States,3
G2bambino,Canada,101
G2bambino,World War II,2
G2bambino,United Kingdom,14
G30ffr3y,RuneScape,2
G360s,RuneScape,1
G3msdf9kd84n,Harry Potter and the Deathly Hallows,4
G3pro,Google,1
G7ivan,Adolf Hitler,2
G8or8de,Xbox 360,1
G8rfan,Britney Spears,1
G8rsPWN,Star Wars,1
G8summit,50 Cent,2
GABaker,George W. Bush,5
GABaker,World War II,3
GABaker,World War I,8
GABaker,George Washington,2
GALLIANS BACK,George W. Bush,4
GAYS ARE DISGUSTING,Japan,2
GB fan,Cat,3
GB fan,Bill Clinton,1
GB fan,Harry Potter,1
GB fan,Jesus,2
GB fan,George W. Bush,32
GB fan,"United States presidential election, 2008",9
GBMorris,Adolf Hitler,1
GBVrallyCI,"United States presidential election, 2008",1
GBaboukis,RuneScape,2
GC,London,1
GCFreak2,Wii,3
GCFreak2,Xbox 360,2
GCFreak2,PlayStation 3,1
GCNrocks223,Star Wars,1
GCW50,Bill Gates,2
GCW50,The Simpsons,1
GCW50,Ronald Reagan,1
GCap Media Employee 101,Adolf Hitler,1
GCarty,World War II,5
GCarty,United States,1
GCarty,Islam,1
GCarty,Osama bin Laden,1
GCarty,World War I,1
GCarty,September 11 attacks,1
GChriss,Osama bin Laden,1
GChriss,George W. Bush,2
GCord52,Family Guy,2
GD,Ronald Reagan,7
GD,September 11 attacks,1
GD,United States,1
GD,Global warming,1
GD,Barack Obama,4
GD,Saddam Hussein,1
GDInc.,PlayStation 3,1
GDallimore,"United States presidential election, 2008",2
GDallimore,Google,1
GDallimore,Michael Jackson,3
GDibyendu,Cannabis (drug),1
GDonato,The Beatles,3
GDonato,New York City,1
GDonato,God,1
GDonato,Google,1
GDonato,London,3
GDonato,Osama bin Laden,1
GDonato,Cannabis (drug),1
GDonato,Jesus,1
GDonato,World War I,6
GDonato,The Simpsons,1
GDonato,South Park,1
GDonato,Japan,1
GDonato,Harry Potter and the Deathly Hallows,2
GDonato,Star Wars,1
GDonato,Ronald Reagan,1
GDonato,United Kingdom,1
GDonato,Tony Blair,2
GDonato,Michael Jackson,2
GDonato,Eminem,1
GDonato,Scientology,1
GEO VA,Xbox 360,1
GEreikat,50 Cent,2
GF89,George W. Bush,3
GFS,London,1
GFellows,Wii,2
GFerrara91,United Kingdom,1
GGbonazzi,United Kingdom,1
GGreeneVa,PlayStation 3,4
GGreeneVa,London,9
GGreeneVa,September 11 attacks,1
GGreeneVa,New York City,37
GHcool,September 11 attacks,4
GHcool,India,2
GHcool,Israel,6
GHe,Muhammad,1
GHe,Islam,1
GHe,World War II,7
GHe,Bill Clinton,17
GHe,Albert Einstein,8
GHe,Bill Gates,8
GHe,George Washington,4
GHe,Canada,15
GHe,PlayStation 3,1
GHe,Saddam Hussein,2
GHe,Christianity,5
GHe,RuneScape,7
GHe,United Kingdom,1
GHe,September 11 attacks,1
GHe,The Beatles,4
GHe,Osama bin Laden,2
GHe,Google,1
GHe,World War I,13
GHe,Scientology,3
GHe,United States,4
GHe,50 Cent,1
GHe,Paris Hilton,1
GHe,George W. Bush,1
GHe,God,1
GHe,Eminem,2
GHe,Harry Potter,6
GHe,Israel,3
GHe,Japan,1
GHe,India,1
GHe,Tony Blair,2
GHe,Global warming,2
GHe,Britney Spears,1
GHe,Adolf Hitler,6
GHe,Ronald Reagan,1
GHe,Star Wars,2
GHibler,Google,1
GILLY1089,Xbox 360,18
GIN 2107,Family Guy,2
GIR Rules,George W. Bush,1
GKJ,Jesus,4
GKJ,PlayStation 3,1
GL,Bill Gates,1
GLGerman,George W. Bush,3
GLGermann,Michael Jackson,1
GLNelson,PlayStation 3,7
GLaDOS,South Park,1
GLdK,PlayStation 3,1
GM Pink Elephant,Cat,1
GM Pink Elephant,Britney Spears,1
GMANGRIFFG,Britney Spears,1
GMC09,Osama bin Laden,1
GMM1919,New York City,1
GMScribe,PlayStation 3,34
GMc,South Park,1
GMc,Family Guy,1
GMcdellan,IPod,13
GNAA Popeye,September 11 attacks,1
GNAAdj28,Bill Gates,1
GNJC,Tony Blair,1
GNU4eva,Muhammad,4
GNU4eva,Canada,1
GNixon,September 11 attacks,1
GO2009GO,"United States presidential election, 2008",2
GOB,Family Guy,8
GOD,God,2
GOD,Jesus,1
GOD ACRONYM,Muhammad,1
GODSyemino,Scientology,1
GOER,Albert Einstein,1
GOOGLEFIEND,The Simpsons,1
GOP904,United States,2
GOPMarkets,"United States presidential election, 2008",8
GP Kid,Global warming,1
GPHemsley,Barack Obama,3
GPHemsley,The Beatles,15
GPS Pilot,George W. Bush,1
GPS Pilot,"United States presidential election, 2008",1
GPS94,Barack Obama,1
GQ002,Michael Jackson,1
GQsm,Eminem,1
GRAHAMUK,Cat,1
GRAHAMUK,The Beatles,3
GRAHAMUK,IPod,16
GRAVEDGA,Eminem,4
GRBerry,Wii,1
GRBerry,Christianity,3
GRBerry,United States,1
GRBerry,Bill Gates,3
GRRE,India,2
GRevolution824,Wii,16
GRevolution824,IPod,1
GRevolution824,Xbox 360,3
GRuban,Google,1
GSAViolist,IPod,4
GSGSGSG,Jesus,1
GSK,PlayStation 3,14
GSK,Michael Jackson,1
GSK,Xbox 360,14
GSM28,George W. Bush,1
GSMR,India,2
GSTQ,United States,2
GSTQ,United Kingdom,1
GSTQ,World War II,1
GSYH,Japan,1
GSalvatore,The Beatles,1
GSharpShot,Albert Einstein,1
GSherman,Bill Clinton,4
GSherman,Ronald Reagan,1
GSkrang,Cannabis (drug),1
GT,Google,1
GT,Britney Spears,1
GT,South Park,1
GT,Cannabis (drug),6
GT-11 IDRIVE,George W. Bush,1
GTA24,Eminem,1
GTAGeek123,Star Wars,1
GTAfanSam,Adolf Hitler,2
GTAsoldier,PlayStation 3,2
GTBacchus,Cannabis (drug),27
GTBacchus,Ronald Reagan,29
GTBacchus,God,1
GTBacchus,The Beatles,92
GTBacchus,George W. Bush,1
GTBacchus,India,1
GTBacchus,Eminem,26
GTBacchus,New York City,2
GTinsdale,Scientology,3
GTubio,Albert Einstein,1
GTubio,PlayStation 3,1
GUSwim,Israel,1
GUTTERTAHAH,George W. Bush,1
GUnitJt5,50 Cent,6
GUnitJt6,50 Cent,14
GV39,Albert Einstein,1
GVOLTT,Wii,4
GVOLTT,Paris Hilton,1
GVOLTT,Osama bin Laden,1
GVOLTT,Michael Jackson,1
GVOLTT,The Beatles,1
GVU,Barack Obama,7
GVaught,Barack Obama,1
GVnayR,South Park,2
GVnayR,Adolf Hitler,1
GWR FM Bristol - The Better Music Mix,George W. Bush,1
GWatson,Japan,1
GWatson,Family Guy,1
GWatson,Islam,1
GWatson,Paris Hilton,1
GWatson,Bill Gates,1
GWillikers,George W. Bush,2
GX620,Bill Gates,2
GZUS KRYST,Saddam Hussein,2
GaMeRuInEr,New York City,9
Gaara the Fifth Kazekage,PlayStation 3,1
Gaara42,Xbox 360,1
Gaaraisbad,Wii,1
Gab.popp,Adolf Hitler,1
Gab.popp,Saddam Hussein,1
Gab44,London,2
Gabagool,United Kingdom,1
Gabbe,London,12
Gabbe,Bill Gates,2
Gabbe,Tony Blair,1
Gabbe,God,5
Gabbe,George Washington,3
Gabbe,The Simpsons,1
Gabbe,Adolf Hitler,4
Gabbe,Wii,2
Gabbe,Islam,1
Gabbe,Muhammad,1
Gabbe,Britney Spears,2
Gabbe,World War I,1
Gabbe,Christianity,1
Gabbe,Xbox 360,2
Gabbe,Global warming,6
Gabbe,September 11 attacks,6
Gabbe,Israel,4
Gabbe,Osama bin Laden,3
Gabbe,New York City,6
Gabbe,Jesus,2
Gabbe,United States,4
Gabbe,George W. Bush,15
Gabbe,United Kingdom,6
Gabbe,India,1
Gabbe,Cannabis (drug),10
Gabbe,PlayStation 3,6
Gabbe,World War II,1
Gabbe,Japan,2
Gabbe,The Beatles,1
Gabbec,Canada,1
Gabe0505,Google,1
Gabe1972,Michael Jackson,1
Gabe76,Saddam Hussein,2
Gabeh73,"United States presidential election, 2008",1
Gabemorr,Bill Gates,1
Gabenuel,Bill Gates,1
Gabesy,Family Guy,1
Gabi S.,September 11 attacks,3
Gabipants,Star Wars,2
Gabitha,Harry Potter and the Deathly Hallows,2
Gabliaven,RuneScape,2
Gabofaria,The Beatles,3
GaborKiraly,World War II,2
Gaborgasko,IPod,1
Gabr-el,Jesus,5
Gabr-el,Saddam Hussein,1
Gabr-el,London,1
Gabr-el,Christianity,7
Gabr-el,Islam,4
Gabr-el,Barack Obama,1
Gabriel Duvall,Ronald Reagan,8
Gabriel Kielland,George W. Bush,1
Gabriel Kielland,South Park,1
Gabriel Kielland,Global warming,4
Gabriel Kielland,"United States presidential election, 2008",3
Gabriel Roth,The Simpsons,1
Gabriel Surette,Family Guy,1
GabrielF,Israel,50
GabrielF,Scientology,2
GabrielF,Bill Clinton,1
GabrielF,World War II,1
GabrielF,Islam,1
GabrielF,Britney Spears,1
GabrielF,The Beatles,1
GabrielF,Bill Gates,1
GabrielF,Ronald Reagan,1
GabrielGuerra,The Beatles,1
GabrielPere,Japan,2
Gabrielclai,Britney Spears,1
Gabrielelagona,London,2
Gabrielleitao,Albert Einstein,15
Gabriellundmark,PlayStation 3,1
Gabrielryan2012,Harry Potter,1
Gabrielsimon,Osama bin Laden,1
Gabrielsimon,September 11 attacks,32
Gabrielsimon,Canada,21
Gabrielsimon,George W. Bush,41
Gabrielsimon,United States,31
Gabrielsimon,God,20
Gabrielthursday,Bill Gates,3
Gabrielx,Israel,1
Gabrielxz,George W. Bush,1
Gabskebabs,Christianity,1
Gabumon,The Beatles,1
Gacggt,Bill Clinton,2
Gacggt,New York City,4
Gackkkk,George W. Bush,1
Gacool,The Beatles,1
Gaddy1975,Harry Potter,2
Gadfium,New York City,3
Gadfium,The Beatles,1
Gadfium,South Park,1
Gadfium,George W. Bush,17
Gadfium,Scientology,4
Gadfium,September 11 attacks,12
Gadfium,Islam,4
Gadfium,Michael Jackson,8
Gadfium,Osama bin Laden,4
Gadfium,Israel,6
Gadfium,United States,10
Gadfium,Paris Hilton,8
Gadfium,London,1
Gadfium,Tony Blair,1
Gadfium,50 Cent,1
Gadfium,United Kingdom,5
Gadfium,Cat,1
Gadfium,Star Wars,2
Gadfium,Barack Obama,2
Gadfium,Japan,1
Gadfium,Bill Gates,4
Gadfium,Bill Clinton,7
Gadfium,George Washington,3
Gadfium,Eminem,1
Gadfium,Google,2
Gadfium,Canada,7
Gadfium,World War II,7
Gadfium,Albert Einstein,3
Gadfium,Adolf Hitler,10
