username,topic,ses
H,September 11 attacks,1
H,Cat,1
H,New York City,2
H,Jesus,2
H,Bill Gates,1
H,Islam,1
H,Cannabis (drug),78
H,"United States presidential election, 2008",1
H,Christianity,2
H,Muhammad,19
H,Canada,13
H,Global warming,1
H,Adolf Hitler,1
H Bruthzoo,Jesus,2
H Cornellier,RuneScape,1
H Cornellier,Harry Potter,3
H Debussy-Jones,World War II,2
H Hog,Wii,1
H a m m o,Harry Potter,1
H ahsan,Islam,1
H-J-Niemann,Israel,2
H-ko,50 Cent,1
H. Jonat,World War I,1
H.Chinaski,World War II,2
H.J.,George Washington,1
H.W. Clihor,God,2
H.a.mott,Albert Einstein,7
H.b.,Global warming,1
H0ck3yplaya,Global warming,1
H0mEiN,Cat,1
H0mEiN,Adolf Hitler,2
H0micidal apple,RuneScape,1
H0riz0n,God,5
H0ttamale2,United States,1
H14,South Park,2
H1523702,George W. Bush,1
H1nkles,The Beatles,3
H1nkles,George Washington,2
H20rose,India,3
H2O,Jesus,1
H2amgeneral,50 Cent,1
H2g2bob,United Kingdom,15
H2g2bob,Cat,2
H2g2bob,Scientology,3
H2g2bob,Paris Hilton,3
H2g2bob,God,2
H2g2bob,Tony Blair,8
H2g2bob,Muhammad,1
H2g2bob,George W. Bush,7
H2g2bob,Jesus,4
H2g2bob,Google,1
H2g2bob,Christianity,10
H2g2bob,Family Guy,1
H2g2bob,Global warming,5
H2g2bob,Michael Jackson,1
H3G3M0N,Jesus,1
H3ll0there,RuneScape,3
H3xx,Barack Obama,1
H3xx,Tony Blair,2
H4rk4t,Jesus,1
H4x,Harry Potter,2
H4x,Osama bin Laden,1
H4xlorkz,New York City,1
H4xx0r,Cannabis (drug),1
H5+R1A,United States,7
H6056,PlayStation 3,1
H64,George W. Bush,1
H6jyhygi,Albert Einstein,1
H7asan,Michael Jackson,8
H7asan,Jesus,1
H7asan,Muhammad,5
H8ed,Google,2
H92Bot,Paris Hilton,1
HAGGGER?,World War II,1
HAHS 25,India,5
HAIM NO1,Israel,3
HAL is not IBM,Barack Obama,1
HARRY POTTER,World War I,1
HARRZ,Osama bin Laden,1
HATERS,India,1
HATERS,Albert Einstein,1
HAW HAW,Bill Clinton,1
HBSquall,Wii,2
HBow3,Britney Spears,2
HD12-21-12,Michael Jackson,1
HD123,PlayStation 3,2
HD324,Britney Spears,10
HDCase,PlayStation 3,1
HDCase,Scientology,1
HDarke,Jesus,3
HDow,Christianity,2
HEAD...is good.,Bill Clinton,1
HERO4321,India,2
HFret,India,10
HG,Barack Obama,2
HGB,Saddam Hussein,1
HGB,India,1
HGB,The Beatles,2
HGB,Jesus,1
HGrex,United Kingdom,1
HH,Eminem,1
HHH-DX,Christianity,1
HHS SpartanBaller,Xbox 360,1
HHS.student,PlayStation 3,1
HIGH44576I,IPod,1
HINSTAMAN,Michael Jackson,3
HINSTAMAN,IPod,1
HINSTAMAN,Eminem,1
HISTA,Michael Jackson,1
HIVUK,United Kingdom,1
HIZKIAH,Israel,8
HIZKIAH,United States,2
HJ Mitchell,Tony Blair,1
HJ Mitchell,United Kingdom,1
HJ32,World War II,5
HJ32,George W. Bush,2
HJ32,United States,1
HJ32,Eminem,3
HJKeats,September 11 attacks,1
HJMC,Michael Jackson,1
HJMG,London,2
HJSH,Ronald Reagan,1
HJV,London,1
HJV,World War I,5
HJames,Harry Potter,4
HK30,Christianity,7
HKT,God,1
HKT,"United States presidential election, 2008",1
HKT,George W. Bush,1
HLGallon,World War II,15
HM211980,The Beatles,1
HMMROFDAGODS,Family Guy,1
HOUZI,Barack Obama,1
HP Man 9009,Harry Potter and the Deathly Hallows,1
HP465,PlayStation 3,3
HP465,Ronald Reagan,2
HPN,Jesus,1
HPN,Albert Einstein,1
HPS345,Harry Potter,1
HPSCHD,George W. Bush,2
HPSCHD,The Simpsons,1
HQ,PlayStation 3,79
HRDingwall,September 11 attacks,1
HRSDConsortium,Scientology,2
HResearcher,Scientology,1
HS Yuna,Harry Potter and the Deathly Hallows,2
HSL,Japan,21
HSzanto,New York City,2
HTBrooks,World War II,1
HTBrooks,United States,1
HU Pilot,United States,2
HWelles,Star Wars,3
HYC,Bill Clinton,1
HYC,Google,3
HaHa13,Harry Potter and the Deathly Hallows,2
HaHaHeHeHyHy,The Simpsons,3
HaXor15,The Simpsons,1
Haakenlid,Ronald Reagan,1
Haakon,Canada,1
Haakon,Bill Gates,5
Haakon,Michael Jackson,1
Haakon,Cat,73
Haakon,Google,3
Haakon,George W. Bush,1
Haakon,South Park,3
Haakon,RuneScape,1
Haakon,Xbox 360,51
Haakon,Osama bin Laden,2
Haakon,The Beatles,1
Haakon,PlayStation 3,2
Haakon,Wii,43
Haavardjenssen,Global warming,2
Habalushy,George W. Bush,2
Habanero-tan,IPod,1
Habap,George W. Bush,1
Habap,World War II,17
Habap,Wii,2
Habemuswikkum,George W. Bush,1
Haber,World War II,229
Haber,World War I,47
Haberstr,Israel,3
Habib Akhmed,George W. Bush,3
Habj,New York City,1
Habj,The Beatles,1
Habler 32,George W. Bush,1
Habs4ever,George W. Bush,1
