username,topic,ses
J 1982,Paris Hilton,1
J 1982,The Beatles,1
J 1982,PlayStation 3,1
J 32,London,1
J Beckman,Scientology,1
J Clear,United States,1
J Di,Global warming,1
J Di,London,1
J Di,Saddam Hussein,5
J Di,George Washington,2
J Di,World War I,1
J Di,50 Cent,4
J Di,The Simpsons,2
J Di,Islam,1
J Di,Albert Einstein,1
J Di,United States,2
J Di,Harry Potter,2
J Di,September 11 attacks,1
J Di,IPod,4
J Di,Canada,3
J Di,PlayStation 3,9
J Di,Google,7
J Di,Eminem,1
J Di,Scientology,1
J Di,RuneScape,2
J Di,The Beatles,2
J Di,Muhammad,1
J Di,India,5
J Di,George W. Bush,3
J Di,Adolf Hitler,4
J Di,Bill Clinton,3
J Di,Tony Blair,7
J Di,South Park,4
J Di,Wii,7
J Di,New York City,1
J Di,Xbox 360,5
J Di,Cannabis (drug),2
J Di,Bill Gates,9
J Di,Family Guy,1
J Di,Ronald Reagan,2
J Di,God,1
J Di,Harry Potter and the Deathly Hallows,1
J Di,Paris Hilton,1
J Dogg,50 Cent,5
J Dogg,IPod,2
J Grant Fox,PlayStation 3,1
J Greb,South Park,1
J Greb,Eminem,2
J Hofmann Kemp,London,1
J JMesserly,Osama bin Laden,3
J JMesserly,September 11 attacks,2
J JMesserly,Saddam Hussein,1
J JMesserly,Albert Einstein,5
J Klein,"United States presidential election, 2008",21
J Klein,Barack Obama,1
J Klein,South Park,1
J Kossowan,"United States presidential election, 2008",1
J Lorraine,Harry Potter,2
J Lorraine,Albert Einstein,1
J M Rice,Paris Hilton,1
J M Rice,Cat,2
J M Rice,Bill Clinton,1
J M Rice,World War I,2
J M Rice,George W. Bush,1
J M Simms,Wii,1
J Milburn,50 Cent,1
J Milburn,Eminem,1
J Milburn,God,2
J Milburn,The Beatles,2
J Milburn,Google,1
J Milburn,Family Guy,1
J Milburn,Wii,1
J Milburn,Scientology,10
J Milburn,Xbox 360,3
J Milburn,South Park,1
J Milburn,Adolf Hitler,1
J Milburn,September 11 attacks,1
J Milburn,Michael Jackson,1
