username,topic,ses
K barker,Paris Hilton,2
K out14,George Washington,1
K-UNIT,PlayStation 3,2
K-UNIT,Family Guy,1
K-UNIT,Ronald Reagan,1
K-UNIT,Adolf Hitler,1
K-UNIT,Muhammad,1
K-UNIT,George Washington,1
K-UNIT,Japan,2
K-UNIT,George W. Bush,3
K-lit,Michael Jackson,1
K-squire,George Washington,1
K-unit,Google,1
K. Lastochka,United States,2
K.C. Tang,Cat,2
K.C. Tang,Google,1
K.Khokhar,India,1
K.S.H.S 2,Cannabis (drug),1
K.lee,George W. Bush,1
K.lee,IPod,1
K.lee,Bill Clinton,1
K00bine,Family Guy,1
K00ld00d1107,Global warming,1
K0hlrabi,Cannabis (drug),1
K1,Albert Einstein,5
K10wnsta,Global warming,1
K157,George W. Bush,1
K157,Bill Clinton,6
K157,Barack Obama,2
K157,United States,5
K1Bond007,Jesus,1
K1Bond007,Barack Obama,21
K1Bond007,PlayStation 3,11
K1Bond007,Adolf Hitler,1
K1Bond007,The Simpsons,1
K1Bond007,RuneScape,1
K1Bond007,Bill Gates,2
K1Bond007,George W. Bush,3
K1Bond007,Xbox 360,124
K1Bond007,Star Wars,3
K1Bond007,Wii,109
K1Bond007,God,1
K1Bond007,Michael Jackson,1
K1Bond007,Scientology,1
K1ER4N,The Simpsons,2
K2 g7,Harry Potter,1
K21562007,50 Cent,2
K2b71,Eminem,5
K2wiki,Osama bin Laden,1
K39,Britney Spears,1
K3v1ndud3,George W. Bush,2
K3vi0,Canada,1
K50 Dude,United States,1
K69,Scientology,5
K69,George W. Bush,1
K7 madman,Xbox 360,2
K78,United Kingdom,13
K851jg2,United Kingdom,1
K851jg2,London,1
K8TEK,Adolf Hitler,1
K8bigelow,Islam,2
K8tiee,South Park,1
K9blkblt101,Michael Jackson,2
K9media,Cat,1
KAMiKAZOW,Albert Einstein,1
KAMiKAZOW,Israel,2
KAMiKAZOW,Japan,2
KAMiKAZOW,Star Wars,1
KAMiKAZOW,Xbox 360,2
KAMiKAZOW,PlayStation 3,2
KAMiKAZOW,IPod,1
KAMiKAZOW,World War II,1
KAMiKAZOW,Wii,3
KAPITALIST88,Michael Jackson,1
KAPITALIST88,PlayStation 3,2
KAPITALIST88,Xbox 360,4
KARASU,Google,1
KB1KOI,Family Guy,1
KB1KOI,IPod,3
KBD5196,Christianity,2
KBW1,Michael Jackson,2
KBcritic,"United States presidential election, 2008",2
KBecks,September 11 attacks,4
KBecks,George W. Bush,19
KBi,RuneScape,20
KBi,Albert Einstein,1
KBi,George W. Bush,1
KBi,God,1
KBick005,Michael Jackson,2
KBtoys09,George Washington,1
KBtoys09,United States,1
KC.,Jesus,1
KC.,Family Guy,1
KC109,Adolf Hitler,1
KCMODevin,Saddam Hussein,1
KCMODevin,September 11 attacks,4
KCMraz,Xbox 360,2
KCinDC,"United States presidential election, 2008",1
KConWiki,Bill Clinton,1
KConWiki,Eminem,3
KConWiki,George Washington,2
KConWiki,Britney Spears,2
KConWiki,Harry Potter and the Deathly Hallows,1
KConWiki,World War I,1
KConWiki,World War II,3
KD-G722,United Kingdom,2
KD-G722,Paris Hilton,1
KD5TVI,PlayStation 3,1
KD5TVI,Cannabis (drug),1
KD5TVI,Adolf Hitler,1
KD5TVI,Japan,6
KF,Paris Hilton,1
KF,George W. Bush,1
KF,Bill Clinton,1
KF,United States,1
KF,The Beatles,1
KF,London,1
KF,Adolf Hitler,1
KF,Ronald Reagan,1
KFJ973,50 Cent,1
KFM,Michael Jackson,1
KFP,Israel,1
KFP,World War II,1
KFP,Ronald Reagan,1
KFP,Harry Potter,2
KFan II,Christianity,1
KFan II,The Simpsons,2
KFan II,United States,4
KFan II,World War II,3
KFan II,Canada,1
KFan II,George W. Bush,1
KGBarnett,United States,14
KGBhater666,George W. Bush,1
KGV,World War I,1
KHK009,George Washington,2
KHM03,The Beatles,1
KHM03,God,29
KHM03,Christianity,153
KHM03,Jesus,83
KHM03,Bill Clinton,1
KHM03,"United States presidential election, 2008",2
KI,Osama bin Laden,1
KI,George W. Bush,1
KI,Christianity,2
KI,Cannabis (drug),1
KIERANEVANS,God,1
KINGOFTH3CASTLE,Islam,1
