username,topic,ses
L 0 0 P,The Simpsons,1
L Trey,Eminem,26
L Trey,50 Cent,1
L Trezise,IPod,1
L joo,God,9
L sutcliffe92,Harry Potter,1
L to the iQuId,Britney Spears,1
L'Aquatique,Barack Obama,5
L'Ours et lune,United Kingdom,2
L-Burna,Eminem,19
L-Tyrosine,Barack Obama,1
L-morrow-028,Barack Obama,2
L.L.King,Paris Hilton,5
L.a.m.b,Britney Spears,12
L.vivian.richard,India,11
L00tmike,South Park,1
L0b0t,The Simpsons,18
L0b0t,World War I,1
L0b0t,South Park,31
L0b0t,Barack Obama,2
L0uIs3,IPod,1
L1ghtwave,Xbox 360,1
L1loneviet1l,Family Guy,1
L1n0s,The Beatles,5
L337 kybldmstr,Harry Potter and the Deathly Hallows,1
L33750N,Christianity,1
L337dexter,Family Guy,1
L337dexter,Paris Hilton,1
L337krn,World War II,1
L33T H4XX,Saddam Hussein,2
L33t 3lit3,Islam,3
L33tass,Harry Potter,1
L33tfella H,PlayStation 3,6
L33th4x0rguy,World War II,3
L33th4x0rguy,United States,1
L33tminion,Adolf Hitler,3
L33tminion,Google,1
L33tminion,George W. Bush,3
L33tminion,Family Guy,7
L33tminion,September 11 attacks,2
L33tminion,Harry Potter,4
L3aby4,George W. Bush,1
L3auer,Harry Potter,1
L3p3r,United States,1
L3th4l,Paris Hilton,1
L46kok,RuneScape,1
L4EV,Jesus,4
L95slovenia,United Kingdom,1
LA Songs,September 11 attacks,1
LA2,Christianity,1
LAAFan,South Park,15
LAAFan,Eminem,1
LAAFan,God,1
LAAFan,IPod,2
LAAFan,Adolf Hitler,2
LACameraman,Star Wars,1
LAMEDED,PlayStation 3,1
LAS1180,Bill Gates,1
LASIBILLA,God,1
LAUBO,Muhammad,1
LAW,Israel,1
LAWLLAWL,Britney Spears,1
LAX,Wii,1
LAX,South Park,3
LAX,Family Guy,2
LAX,Xbox 360,1
LAX,Harry Potter and the Deathly Hallows,1
LAX,New York City,1
LAX,United Kingdom,1
LAX,London,1
LAZY 1L,Paris Hilton,1
LAphoto2006,Paris Hilton,1
LBGcondor,Cannabis (drug),1
LBK360,Eminem,7
LBear08,Paris Hilton,1
LBoogey,Britney Spears,1
LC,Global warming,1
LC Revelation,Harry Potter and the Deathly Hallows,1
LC Revelation,George W. Bush,2
LCH7183,Harry Potter and the Deathly Hallows,1
