username,topic,ses
I AM GOD,George W. Bush,1
I Am Moon,Harry Potter,1
I B Wright,"United States presidential election, 2008",1
I Da-BomBeD It!,Osama bin Laden,1
I Got A's,Japan,1
I Grave Rob,Google,1
I I K I I,The Beatles,1
I I K I I,George Washington,2
I Iove wikipedia :),50 Cent,1
I LIKE BOYZ,George Washington,1
I Love Pi,Bill Gates,1
I Play Poker,RuneScape,3
I Q('.'Q I,RuneScape,1
I already forgot,Harry Potter,3
I already forgot,World War II,8
I already forgot,Xbox 360,1
I already forgot,World War I,1
I already forgot,Global warming,5
I already forgot,The Beatles,1
I already forgot,United Kingdom,2
I am B,George W. Bush,3
I am NOT User:Hephaestos!,Saddam Hussein,1
I am Nicko,Canada,18
I am Ward Cunningham and I am Mad!,Osama bin Laden,3
I am narcicist,Canada,1
I am not a dog,India,1
I am not good at running,George W. Bush,1
I am not who I appear to be,Barack Obama,1
I am sam the man,Cannabis (drug),1
I am the one for you,Michael Jackson,2
I b pip,Islam,1
I c u trippin,Britney Spears,1
I didn't push her,Bill Gates,1
I do not exist,Israel,1
I do not exist,South Park,1
I do things,Adolf Hitler,1
I do things,50 Cent,2
I do things,Eminem,1
I dont know what's going on,Cat,5
I dream of horses,United States,1
I elliot,Islam,1
I elliot,Israel,2
I feel like a tourist,Barack Obama,1
I hate scientology,Google,2
I hate scientology,Scientology,1
I hate scientology,The Simpsons,3
I heart queers,September 11 attacks,2
I like Bacon,Osama bin Laden,1
I like bacon,George W. Bush,1
I love SUV's,Global warming,5
I love india,India,1
I love the punk music,George W. Bush,4
I love the punk music,Eminem,1
I love val,Canada,1
I love wikipedia :),50 Cent,1
I love wikipedia :),Albert Einstein,1
I luv politics,Tony Blair,2
I m dude2002,Israel,3
I mahatma i,RuneScape,1
I play runescape,RuneScape,4
I r ruler o worldy,Japan,1
I will rule,PlayStation 3,1
I wuv u,50 Cent,1
I ♥ Ants,Eminem,1
I'MSKYHiGH,Britney Spears,2
I'll bring the food,Harry Potter,1
I'll bring the food,George W. Bush,2
I'll bring the food,Michael Jackson,172
I'll suck anything,The Simpsons,1
I'm 5 years old and I watch South Park...,South Park,1
I'm So Cool,The Beatles,1
I'm an a,Family Guy,1
I'm armed with my point of view and I'm not afraid to use it!,PlayStation 3,1
I'm nonpartisan,Harry Potter and the Deathly Hallows,3
I'm not the one you should fear,September 11 attacks,1
I'm so special,September 11 attacks,2
I'm4aNPOV,Scientology,5
I'mDown,Barack Obama,1
I'mDown,Eminem,1
I'mDown,Israel,4
I've been What'd?,The Simpsons,1
"I, Nerd",Bill Gates,2
I-2-d2,United States,1
I-hunter,Albert Einstein,1
I-luv-chocolate-x,Britney Spears,1
I.M. Rich,Paris Hilton,1
I.M.S.,Star Wars,1
I.R Vundal,Cat,1
I.am.lost,The Simpsons,1
I.am.lost,IPod,2
I2en,50 Cent,3
I33t hackor,George W. Bush,1
I3lack Hawk,Barack Obama,1
I4u2we,Ronald Reagan,1
I5bala,Wii,2
I834,Jesus,8
I8bliar,Tony Blair,1
IAM,George W. Bush,2
IAMDUDE70,Xbox 360,1
IAMSOCOOl,50 Cent,3
IAMTHEEGGMAN,Cannabis (drug),1
IAMTHEEGGMAN,United Kingdom,1
IAMTHEEGGMAN,Google,1
IAMTHEEGGMAN,PlayStation 3,1
IAMTrust,Osama bin Laden,3
IAMTrust,Star Wars,2
IAlta,PlayStation 3,1
IAmJacksAppendix,Family Guy,1
IAmTheCoinMan,God,1
IAmTheCoinMan,Paris Hilton,1
IAmTheCoinMan,Jesus,3
IAmTheCoinMan,Wii,4
IAmTheLaw.Tarr,George W. Bush,1
IBaghdadi,Muhammad,1
IBen,Michael Jackson,1
IBen,Barack Obama,4
IBen,IPod,1
IBstupid,"United States presidential election, 2008",4
IByte,World War II,1
IByte,George W. Bush,3
ICaleb.g4,Bill Gates,2
ICanAlwaysChangeThisLater,Saddam Hussein,1
ICarly fan 0246,Michael Jackson,1
ICarriere,"United States presidential election, 2008",1
ICheetah,Islam,1
ICobra,Jesus,4
IConform,Israel,1
IDALGHAMTFPD,Family Guy,5
IDALGHAMTFPD,The Simpsons,1
IDuDaChaCha,Xbox 360,1
IDuDaChaCha,PlayStation 3,2
IDuDaChaCha,IPod,1
IDuDaChaCha,Wii,1
IDude 101,The Simpsons,1
IE,IPod,458
IE,Wii,1
IFEice,IPod,1
IFaqeer,Islam,12
IFaqeer,Muhammad,8
IFaqeer,Christianity,1
IFeito,Scientology,2
IFeito,Jesus,43
IG-2000,Wii,2
IG-2000,PlayStation 3,9
IGod,The Simpsons,2
IGod,Michael Jackson,1
IGod,World War II,1
IH81107,Cat,2
IH8GWB,George W. Bush,1
IHUB.org Founder,Canada,1
IHeartRacing,Family Guy,1
II MusLiM HyBRiD II,Albert Einstein,1
II MusLiM HyBRiD II,World War II,1
II MusLiM HyBRiD II,Barack Obama,1
II MusLiM HyBRiD II,George W. Bush,2
II MusLiM HyBRiD II,Christianity,1
II MusLiM HyBRiD II,London,2
IIIV,United Kingdom,1
IIbanez,RuneScape,2
IJA,United Kingdom,5
IJA,United States,8
IJA,New York City,1
IJA,World War I,3
IJA,World War II,1
IJA,India,5
IJA,Tony Blair,2
IJA,London,9
IJALB,Britney Spears,5
IJB,Paris Hilton,1
IKR1,Wii,1
IKR1,Family Guy,1
IKR1,The Simpsons,2
IKato,IPod,1
IKato,Bill Clinton,4
IKato,Family Guy,1
IKato,Wii,1
IKato,Michael Jackson,1
IKato,"United States presidential election, 2008",1
IKbo,Barack Obama,1
IKnowMuch,The Simpsons,1
IL-Kuma,Albert Einstein,1
IL7Soulhunter,Michael Jackson,1
IL7Soulhunter,The Beatles,5
ILDB,Bill Clinton,7
ILIKECEREALX,Harry Potter and the Deathly Hallows,1
ILIKECORNANDBEEF,Saddam Hussein,1
ILOVELOL32,Google,1
ILOVEME,Britney Spears,1
ILguy06,United States,1
ILike2BeAnonymous,New York City,6
ILike2BeAnonymous,Cat,39
ILike2Poddy,Michael Jackson,1
ILoveDustynPatterson4Ever,Adolf Hitler,1
ILovePlankton,IPod,1
ILovePlankton,Bill Gates,1
ILovePlankton,Bill Clinton,2
ILovePlankton,World War II,1
ILovePlankton,RuneScape,1
ILovePlankton,Japan,1
ILovePlankton,Paris Hilton,1
ILuvAmerica,United States,24
ILuvTea,Tony Blair,1
ILuvTea,Bill Clinton,1
ILuvTea,Ronald Reagan,1
IMABBALLPLAYER,PlayStation 3,1
IMOW,United States,1
IMOW,India,1
