chr,start,end,width,transcriptID,geneSymbol,meth.diff,qvalue
1,chr1,50489614,50489828,215,AGBL4,48.39593659,4.92E-06
2,chr1,33547664,33547721,58,ADC,47.47948085,1.56E-05
3,chr1,2986648,2987473,826,PRDM16,37.20769189,0.000867322
4,chr1,1982427,1982784,358,PRKCZ,27.74830759,0.001847641
5,chr1,1983184,1983261,78,PRKCZ,35.49713515,1.73E-09
6,chr1,2986648,2987473,826,PRDM16,37.20769189,0.000867322
7,chr1,1050578,1050777,200,C1orf159,43.49264992,8.09E-06
8,chr1,1052351,1052659,309,C1orf159,36.18755583,2.30E-06
9,chr1,29213455,29214508,1054,EPB41,44.5041114,0.000153909
10,chr1,29213455,29214508,1054,EPB41,44.5041114,0.000153909
11,chr1,29213455,29214508,1054,EPB41,44.5041114,0.000153909
12,chr1,29213455,29214508,1054,EPB41,44.5041114,0.000153909
13,chr1,29213455,29214508,1054,EPB41,44.5041114,0.000153909
14,chr1,34632087,34632241,155,CSMD2,30.99211056,0.000428868
15,chr1,34629462,34629562,101,CSMD2,-28.46991897,0.000108966
16,chr1,34632087,34632241,155,CSMD2,30.99211056,0.000428868
17,chr1,34629462,34629562,101,CSMD2,-28.46991897,0.000108966
18,chr1,44871766,44871879,114,RNF220,38.78592419,6.86E-05
19,chr1,53393455,53393705,251,SCP2,41.27084485,1.24E-07
20,chr1,58715169,58715505,337,DAB1,40.52635996,1.09E-09
21,chr1,53393455,53393705,251,SCP2,41.27084485,1.24E-07
22,chr1,53393455,53393705,251,SCP2,41.27084485,1.24E-07
23,chr1,53393455,53393705,251,SCP2,41.27084485,1.24E-07
24,chr1,61542583,61542701,119,NFIA,33.24754614,1.28E-05
25,chr1,64935979,64936389,411,CACHD1,26.25262705,0.000211901
26,chr1,107682551,107683327,777,NTNG1,31.53108906,0.000563383
27,chr1,107682551,107683327,777,NTNG1,31.53108906,0.000563383
28,chr1,107682551,107683327,777,NTNG1,31.53108906,0.000563383
29,chr1,212874085,212874184,100,BATF3,43.18116111,3.63E-06
30,chr1,241519948,241520749,802,RGS7,48.078014,0.00130195
31,chr1,241519981,241520386,406,RGS7,-28.59787734,0.001874176
32,chr1,241519948,241520749,802,RGS7,48.078014,0.00130195
33,chr1,241519981,241520386,406,RGS7,-28.59787734,0.001874176
34,chr1,241519948,241520749,802,RGS7,48.078014,0.00130195
35,chr1,241519981,241520386,406,RGS7,-28.59787734,0.001874176
