chr,start,end,width,transcriptID,geneSymbol,meth.diff,qvalue
1,chr1,2984974,2985403,430,PRDM16,43.02054413,0.003402042
2,chr1,2986224,2987488,1265,PRDM16,36.63922546,0.009111448
3,chr1,2984974,2985403,430,PRDM16,43.02054413,0.003402042
4,chr1,2986224,2987488,1265,PRDM16,36.63922546,0.009111448
5,chr1,44872251,44873450,1200,RNF220,27.0236915,0.044541907
6,chr1,95393155,95393430,276,LOC729970,46.21233605,0.001801496
7,chr1,3527744,3528014,271,MEGF6,23.03920266,0.008573657
8,chr1,4712849,4713119,271,AJAP1,44.4301175,6.00E-05
9,chr1,4712849,4713119,271,AJAP1,44.4301175,6.00E-05
10,chr1,17305365,17305831,467,MFAP2,36.43011456,0.000887669
11,chr1,17305365,17305831,467,MFAP2,36.43011456,0.000887669
12,chr1,21835895,21836481,587,ALPL,41.51119515,0.007736681
13,chr1,21835895,21836481,587,ALPL,41.51119515,0.007736681
14,chr1,21835895,21836481,587,ALPL,41.51119515,0.007736681
15,chr1,37500440,37500617,178,GRIK3,29.35571077,0.024177936
16,chr1,40253856,40254138,283,BMP8B,49.09362165,4.60E-05
17,chr1,42846108,42846767,660,RIMKLA,24.4892172,0.026363049
18,chr1,112531434,112532132,699,KCND3,28.65335679,0.017335385
19,chr1,112531434,112532132,699,KCND3,28.65335679,0.017335385
20,chr1,114695255,114696671,1417,SYT6,27.46366736,0.011760462
21,chr1,114695255,114696671,1417,SYT6,27.46366736,0.011760462
22,chr1,165325238,165325396,159,LMX1A,33.48244858,4.73E-05
23,chr1,165325238,165325396,159,LMX1A,33.48244858,4.73E-05
24,chr1,178007002,178007318,317,LOC730102,50.98451914,6.82E-05
25,chr1,180198146,180198694,549,LHX4,33.06309714,0.000200883
26,chr1,203595060,203595146,87,ATP2B4,36.95077173,3.58E-05
27,chr1,203595060,203595146,87,ATP2B4,36.95077173,3.58E-05
28,chr1,204797625,204797920,296,NFASC,48.63772795,1.50E-05
29,chr1,204654354,204655019,666,LRRN2,30.86483031,0.030393978
30,chr1,204797625,204797920,296,NFASC,48.63772795,1.50E-05
31,chr1,204797625,204797920,296,NFASC,48.63772795,1.50E-05
32,chr1,204654354,204655019,666,LRRN2,30.86483031,0.030393978
33,chr1,204797625,204797920,296,NFASC,48.63772795,1.50E-05
34,chr1,204797625,204797920,296,NFASC,48.63772795,1.50E-05
35,chr1,207818518,207818819,302,CR1L,21.29493927,0.008603397
36,chr1,220959585,220959713,129,1-Mar,35.18197981,0.001290687
37,chr1,231298903,231299489,587,TRIM67,34.5829611,0.04437252
38,chr1,235813682,235814010,329,GNG4,24.23076417,0.005248746
39,chr1,235813682,235814010,329,GNG4,24.23076417,0.005248746
40,chr1,235813682,235814010,329,GNG4,24.23076417,0.005248746
41,chr1,244624520,244624845,326,C1orf101,23.48526695,0.002911928
42,chr1,244624520,244624845,326,C1orf101,23.48526695,0.002911928
43,chr1,244624520,244624845,326,C1orf101,23.48526695,0.002911928
44,chr1,916087,916346,260,C1orf170,36.45347292,0.003362354
45,chr1,1370856,1370934,79,VWA1,26.11569321,0.000393719
46,chr1,1370856,1370934,79,VWA1,26.11569321,0.000393719
